TRATAMENTOS,REP,COL,CERC,FERR,
CONTR,2,3,1,1,
CONTR,3,3,0,0,
CONTR,4,3,0,0,
CONTR,5,3,0,0,
CONTR,6,3,0,2,
CONTR,7,3,2,1,
CONTR,8,3,1,2,
CONTR,9,3,1,1,
CONTR,10,3,0,0,
CONTR,11,3,1,1,
CONTR,12,3,1,1,
CONTR,13,3,0,1,
CONTR,14,3,1,2,
CONTR,15,3,0,1,
CONTR,16,3,1,0,
CONTR,17,3,0,1,
CONTR,18,3,3,1,
CONTR,19,3,0,1,
CONTR,20,3,0,0,
CONTR,21,3,0,1,
CONTR,22,3,2,0,
CONTR,23,3,0,1,
CONTR,24,3,0,1,
CONTR,25,3,1,0,
CONTR,26,3,0,0,
CONTR,27,3,0,1,
CONTR,28,3,1,0,
CONTR,29,3,0,1,
CONTR,30,3,0,1,
CONTR,31,3,0,0,
CONTR,32,3,0,1,
CONTR,33,3,1,0,
CONTR,34,3,0,1,
CONTR,35,3,0,0,
CONTR,36,3,1,1,
CONTR,37,3,2,0,
CONTR,38,3,0,1,
CONTR,39,3,0,0,
CONTR,40,3,0,1,
CONTR,41,3,0,0,
CONTR,42,3,1,2,
CONTR,43,3,0,1,
CONTR,44,3,1,1,
CONTR,45,3,0,1,
CONTR,46,3,2,3,
CONTR,47,3,1,0,
CONTR,48,3,0,1,
CONTR,49,3,0,1,
CONTR,50,3,1,0,
CONTR,51,3,0,2,
CONTR,52,3,0,1,
CONTR,53,3,1,2,
CONTR,54,3,1,1,
CONTR,55,3,0,1,
CONTR,56,3,2,2,
CONTR,57,3,1,1,
CONTR,58,3,1,2,
CONTR,59,3,1,0,
CONTR,60,3,1,1,
CONTR,61,3,0,1,
CONTR,62,3,1,1,
CONTR,63,3,0,1,
CONTR,64,3,2,1,
CONTR,65,3,1,1,
CONTR,66,3,0,1,
CONTR,67,3,0,1,
CONTR,68,3,2,3,
CONTR,69,3,1,2,
CONTR,70,3,1,2,
CONTR,71,3,1,1,
CONTR,72,3,2,2,
CONTR,73,3,1,2,
CONTR,74,3,1,1,
CONTR,75,3,2,2,
CONTR,76,3,1,1,
CONTR,77,3,2,1,
CONTR,78,3,1,1,
CONTR,79,3,1,2,
CONTR,80,3,2,3,
CONTR,81,3,0,1,
CONTR,82,3,0,2,
CONTR,83,3,0,1,
CONTR,84,3,0,1,
CONTR,85,3,1,2,
CONTR,86,3,1,1,
CONTR,87,3,0,2,
CONTR,88,3,0,1,
CONTR,89,3,0,1,
CONTR,90,3,0,1,
CONTR,91,3,0,1,
CONTR,92,3,0,1,
CONTR,93,3,1,1,
CONTR,94,3,2,2,
CONTR,95,3,2,1,
CONTR,96,3,0,0,
CONTR,97,3,0,0,
CONTR,98,3,0,1,
CONTR,99,3,0,1,
CONTR,100,3,1,1,
CALDA,1,3,1,1,
CALDA,2,3,1,1,
CALDA,3,3,0,0,
CALDA,4,3,0,1,
CALDA,5,3,0,0,
CALDA,6,3,1,0,
CALDA,7,3,0,0,
CALDA,8,3,0,0,
CALDA,9,3,1,1,
CALDA,10,3,0,1,
CALDA,11,3,2,2,
CALDA,12,3,0,1,
CALDA,13,3,0,0,
CALDA,14,3,0,1,
CALDA,15,3,1,1,
CALDA,16,3,1,2,
CALDA,17,3,0,0,
CALDA,18,3,1,1,
CALDA,19,3,1,1,
CALDA,20,3,0,0,
CALDA,21,3,1,2,
CALDA,22,3,1,2,
CALDA,23,3,1,1,
CALDA,24,3,0,1,
CALDA,25,3,1,2,
CALDA,26,3,0,2,
CALDA,27,3,1,2,
CALDA,28,3,0,1,
CALDA,29,3,0,2,
CALDA,30,3,2,2,
CALDA,31,3,0,0,
CALDA,32,3,0,1,
CALDA,33,3,1,1,
CALDA,34,3,0,1,
CALDA,35,3,1,0,
CALDA,36,3,0,1,
CALDA,37,3,0,1,
CALDA,38,3,1,1,
CALDA,39,3,0,0,
CALDA,40,3,1,1,
CALDA,41,3,0,1,
CALDA,42,3,0,0,
CALDA,43,3,0,1,
CALDA,44,3,0,1,
CALDA,45,3,0,0,
CALDA,46,3,0,0,
CALDA,47,3,1,1,
CALDA,48,3,1,0,
CALDA,49,3,1,0,
CALDA,50,3,1,0,
CALDA,51,3,0,1,
CALDA,52,3,0,1,
CALDA,53,3,0,0,
CALDA,54,3,1,0,
CALDA,55,3,0,0,
CALDA,56,3,0,0,
CALDA,57,3,0,0,
CALDA,58,3,0,1,
CALDA,59,3,1,0,
CALDA,60,3,0,1,
CALDA,61,3,0,0,
CALDA,62,3,0,2,
CALDA,63,3,0,0,
CALDA,64,3,0,2,
CALDA,65,3,0,0,
CALDA,66,3,0,2,
CALDA,67,3,0,1,
CALDA,68,3,1,0,
CALDA,69,3,1,2,
CALDA,70,3,0,1,
CALDA,71,3,0,2,
CALDA,72,3,0,1,
CALDA,73,3,0,0,
CALDA,74,3,2,1,
CALDA,75,3,1,3,
CALDA,76,3,0,1,
CALDA,77,3,1,4,
CALDA,78,3,0,1,
CALDA,79,3,0,1,
CALDA,80,3,2,0,
CALDA,81,3,0,1,
CALDA,82,3,0,1,
CALDA,83,3,0,1,
CALDA,84,3,0,0,
CALDA,85,3,1,2,
CALDA,86,3,0,1,
CALDA,87,3,1,2,
CALDA,88,3,0,1,
CALDA,89,3,1,0,
CALDA,90,3,0,0,
CALDA,91,3,1,1,
CALDA,92,3,1,3,
CALDA,93,3,1,1,
CALDA,94,3,0,1,
CALDA,95,3,0,2,
CALDA,96,3,1,2,
CALDA,97,3,1,1,
CALDA,98,3,0,0,
CALDA,99,3,0,3,
CALDA,100,3,0,1,
CONTR,1,4,0,1,
CONTR,2,4,0,1,
CONTR,3,4,1,0,
CONTR,4,4,0,2,
CONTR,5,4,0,0,
CONTR,6,4,3,0,
CONTR,7,4,0,1,
CONTR,8,4,0,0,
CONTR,9,4,0,0,
CONTR,10,4,3,2,
CONTR,11,4,1,1,
CONTR,12,4,1,0,
CONTR,13,4,0,0,
CONTR,14,4,0,2,
CONTR,15,4,0,0,
CONTR,16,4,0,0,
CONTR,17,4,1,1,
CONTR,18,4,0,0,
CONTR,19,4,1,0,
CONTR,20,4,1,2,
CONTR,21,4,0,1,
CONTR,22,4,0,1,
CONTR,23,4,2,0,
CONTR,24,4,1,2,
CONTR,25,4,0,1,
CONTR,26,4,1,1,
CONTR,27,4,1,0,
CONTR,28,4,1,0,
CONTR,29,4,1,2,
CONTR,30,4,0,0,
CONTR,31,4,2,2,
CONTR,32,4,0,0,
CONTR,33,4,0,0,
CONTR,34,4,0,1,
CONTR,35,4,0,3,
CONTR,36,4,0,1,
CONTR,37,4,2,2,
CONTR,38,4,1,1,
CONTR,39,4,0,1,
CONTR,40,4,0,1,
CONTR,41,4,0,1,
CONTR,42,4,1,1,
CONTR,43,4,0,0,
CONTR,44,4,1,0,
CONTR,45,4,1,3,
CONTR,46,4,0,0,
CONTR,47,4,0,0,
CONTR,48,4,0,1,
CONTR,49,4,1,2,
CONTR,50,4,1,2,
CONTR,51,4,1,0,
CONTR,52,4,0,2,
CONTR,53,4,0,1,
CONTR,54,4,1,0,
CONTR,55,4,2,2,
CONTR,56,4,0,1,
CONTR,57,4,1,2,
CONTR,58,4,1,1,
CONTR,59,4,0,0,
CONTR,60,4,0,2,
CONTR,61,4,0,1,
CONTR,62,4,1,1,
CONTR,63,4,2,2,
CONTR,64,4,1,3,
CONTR,65,4,2,2,
CONTR,66,4,0,0,
CONTR,67,4,1,1,
CONTR,68,4,0,1,
CONTR,69,4,0,1,
CONTR,70,4,3,2,
CONTR,71,4,0,1,
CONTR,72,4,1,1,
CONTR,73,4,1,2,
CONTR,74,4,0,2,
CONTR,75,4,0,1,
CONTR,76,4,1,2,
CONTR,77,4,0,2,
CONTR,78,4,0,1,
CONTR,79,4,0,1,
CONTR,80,4,0,1,
CONTR,81,4,0,1,
CONTR,82,4,0,0,
CONTR,83,4,0,0,
CONTR,84,4,2,2,
CONTR,85,4,0,1,
CONTR,86,4,0,1,
CONTR,87,4,0,1,
CONTR,88,4,1,2,
CONTR,89,4,0,0,
CONTR,90,4,1,0,
CONTR,91,4,1,1,
CONTR,92,4,1,2,
CONTR,93,4,0,1,
CONTR,94,4,0,0,
CONTR,95,4,1,0,
CONTR,96,4,1,0,
CONTR,97,4,2,1,
CONTR,98,4,0,0,
CONTR,99,4,2,1,
CONTR,100,4,0,2,
CALDA,1,4,2,2,
CALDA,2,4,0,1,
CALDA,3,4,0,0,
CALDA,4,4,0,1,
CALDA,5,4,1,1,
CALDA,6,4,0,0,
CALDA,7,4,0,0,
CALDA,8,4,2,0,
CALDA,9,4,1,0,
CALDA,10,4,1,1,
CALDA,11,4,1,0,
CALDA,12,4,0,0,
CALDA,13,4,0,1,
CALDA,14,4,0,0,
CALDA,15,4,0,0,
CALDA,16,4,3,1,
CALDA,17,4,1,0,
CALDA,18,4,0,0,
CALDA,19,4,2,1,
CALDA,20,4,1,1,
CALDA,21,4,1,0,
CALDA,22,4,0,0,
CALDA,23,4,0,0,
CALDA,24,4,0,0,
CALDA,25,4,0,1,
CALDA,26,4,0,1,
CALDA,27,4,0,0,
CALDA,28,4,1,2,
CALDA,29,4,1,1,
CALDA,30,4,1,2,
CALDA,31,4,0,0,
CALDA,32,4,0,0,
CALDA,33,4,0,0,
CALDA,34,4,1,1,
CALDA,35,4,1,1,
CALDA,36,4,0,1,
CALDA,37,4,0,0,
CALDA,38,4,0,0,
CALDA,39,4,0,0,
CALDA,40,4,0,2,
CALDA,41,4,0,0,
CALDA,42,4,0,1,
CALDA,43,4,0,0,
CALDA,44,4,1,1,
CALDA,45,4,0,0,
CALDA,46,4,0,1,
CALDA,47,4,1,1,
CALDA,48,4,0,0,
CALDA,49,4,0,1,
CALDA,50,4,0,2,
CALDA,51,4,0,0,
CALDA,52,4,0,0,
CALDA,53,4,0,0,
CALDA,54,4,1,1,
CALDA,55,4,0,0,
CALDA,56,4,1,1,
CALDA,57,4,1,1,
CALDA,58,4,0,0,
CALDA,59,4,1,0,
CALDA,60,4,2,0,
CALDA,61,4,0,0,
CALDA,62,4,1,1,
CALDA,63,4,0,1,
CALDA,64,4,0,0,
CALDA,65,4,0,0,
CALDA,66,4,0,1,
CALDA,67,4,2,0,
CALDA,68,4,0,2,
CALDA,69,4,0,0,
CALDA,70,4,0,1,
CALDA,71,4,0,0,
CALDA,72,4,0,0,
CALDA,73,4,0,1,
CALDA,74,4,2,3,
CALDA,75,4,0,1,
CALDA,76,4,1,2,
CALDA,77,4,0,2,
CALDA,78,4,0,0,
CALDA,79,4,1,2,
CALDA,80,4,0,1,
CALDA,81,4,0,1,
CALDA,82,4,0,1,
CALDA,83,4,0,1,
CALDA,84,4,0,0,
CALDA,85,4,1,0,
CALDA,86,4,0,2,
CALDA,87,4,0,2,
CALDA,88,4,1,2,
CALDA,89,4,0,2,
CALDA,90,4,1,1,
CALDA,91,4,2,4,
CALDA,92,4,0,0,
CALDA,93,4,0,2,
CALDA,94,4,1,1,
CALDA,95,4,1,2,
CALDA,96,4,1,2,
CALDA,97,4,0,3,
CALDA,98,4,0,2,
CALDA,99,4,0,2,
CALDA,100,4,0,2,
