Tratamentos,REP,COL,CERC,FERR
CALDA,60,4,3,1
CALDA,61,4,1,1
CALDA,62,4,2,2
CALDA,63,4,1,2
CALDA,64,4,1,1
CALDA,65,4,1,1
CALDA,66,4,1,2
CALDA,67,4,3,1
CALDA,68,4,1,3
CALDA,69,4,1,1
CALDA,70,4,1,2
CALDA,71,4,1,1
CALDA,72,4,1,1
CALDA,73,4,1,2
CALDA,74,4,3,4
CALDA,75,4,1,2
CALDA,76,4,2,3
CALDA,77,4,1,3
CALDA,78,4,1,1
CALDA,79,4,2,3
CALDA,80,4,1,2
CALDA,81,4,1,2
CALDA,82,4,1,2
CALDA,83,4,1,2
CALDA,84,4,1,1
CALDA,85,4,2,1
CALDA,86,4,1,3
CALDA,87,4,1,3
CALDA,88,4,2,3
CALDA,89,4,1,3
CALDA,90,4,2,2
CALDA,91,4,3,5
CALDA,92,4,1,1
CALDA,93,4,1,3
CALDA,94,4,2,2
CALDA,95,4,2,3
CALDA,96,4,2,3
CALDA,97,4,1,4
CALDA,98,4,1,3
CALDA,99,4,1,3
CALDA,100,4,1,3
